Band name,Band value
20150531_1030_sm_rootzone,0.269
20150531_1330_sm_rootzone,0.269
20150531_1630_sm_rootzone,0.267
20150531_1930_sm_rootzone,0.266
20150531_2230_sm_rootzone,0.266
20150601_0130_sm_rootzone,0.266
20150601_0430_sm_rootzone,0.266
20150601_0730_sm_rootzone,0.266
20150601_1030_sm_rootzone,0.267
20150601_1330_sm_rootzone,0.267
20150601_1630_sm_rootzone,0.267
20150601_1930_sm_rootzone,0.266
20150601_2230_sm_rootzone,0.266
20150602_0130_sm_rootzone,0.266
20150602_0430_sm_rootzone,0.266
20150602_0730_sm_rootzone,0.266
20150602_1030_sm_rootzone,0.266
20150602_1330_sm_rootzone,0.266
20150602_1630_sm_rootzone,0.265
20150602_1930_sm_rootzone,0.263
20150602_2230_sm_rootzone,0.263
20150603_0130_sm_rootzone,0.263
20150603_0430_sm_rootzone,0.263
20150603_0730_sm_rootzone,0.263
20150603_1030_sm_rootzone,0.263
20150603_1330_sm_rootzone,0.263
20150603_1630_sm_rootzone,0.262
20150603_1930_sm_rootzone,0.261
20150603_2230_sm_rootzone,0.261
20150604_0130_sm_rootzone,0.261
20150604_0430_sm_rootzone,0.262
20150604_0730_sm_rootzone,0.262
20150604_1030_sm_rootzone,0.262
20150604_1330_sm_rootzone,0.262
20150604_1630_sm_rootzone,0.261
20150604_1930_sm_rootzone,0.26
20150604_2230_sm_rootzone,0.259
20150605_0130_sm_rootzone,0.26
20150605_0430_sm_rootzone,0.26
20150605_0730_sm_rootzone,0.26
20150605_1030_sm_rootzone,0.26
20150605_1330_sm_rootzone,0.261
20150605_1630_sm_rootzone,0.26
20150605_1930_sm_rootzone,0.259
20150605_2230_sm_rootzone,0.259
20150606_0130_sm_rootzone,0.26
20150606_0430_sm_rootzone,0.26
20150606_0730_sm_rootzone,0.26
20150606_1030_sm_rootzone,0.26
20150606_1330_sm_rootzone,0.261
20150606_1630_sm_rootzone,0.26
20150606_1930_sm_rootzone,0.259
20150606_2230_sm_rootzone,0.259
20150607_0130_sm_rootzone,0.26
20150607_0430_sm_rootzone,0.26
20150607_0730_sm_rootzone,0.26
20150607_1030_sm_rootzone,0.26
20150607_1330_sm_rootzone,0.26
20150607_1630_sm_rootzone,0.26
20150607_1930_sm_rootzone,0.259
20150607_2230_sm_rootzone,0.259
20150608_0130_sm_rootzone,0.259
20150608_0430_sm_rootzone,0.259
20150608_0730_sm_rootzone,0.259
20150608_1030_sm_rootzone,0.26
20150608_1330_sm_rootzone,0.26
20150608_1630_sm_rootzone,0.259
20150608_1930_sm_rootzone,0.258
20150608_2230_sm_rootzone,0.258
20150609_0130_sm_rootzone,0.259
20150609_0430_sm_rootzone,0.26
20150609_0730_sm_rootzone,0.261
20150609_1030_sm_rootzone,0.262
20150609_1330_sm_rootzone,0.263
20150609_1630_sm_rootzone,0.263
20150609_1930_sm_rootzone,0.262
20150609_2230_sm_rootzone,0.262
20150610_0130_sm_rootzone,0.263
20150610_0430_sm_rootzone,0.265
20150610_0730_sm_rootzone,0.268
20150610_1030_sm_rootzone,0.269
20150610_1330_sm_rootzone,0.27
